title,author,publisher,publication_date,price
된다! 하루 만에 끝내는 제미나이 활용법,권서림 저,이지스퍼블리싱,2025년 11월,18000
요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호 저,골든래빗,2026년 02월,25200
누구나 아는 나만 모르는 제미나이,이성원 저,한빛미디어,2026년 01월,17100
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석 저,코리아닷컴(Korea.com),2025년 08월,24300
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","안익재, 황의태 저",앤써북,2025년 12월,17820
피지컬 AI 메가 트렌드,"최홍섭, 원미르 저",위즈덤하우스,2026년 01월,20700
요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호 저,골든래빗,2025년 09월,21600
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진 저",한빛미디어,2025년 05월,18000
된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터 저,이지스퍼블리싱,2025년 06월,18000
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,쌩초 저,골든래빗,2025년 12월,16920
제로클릭,손승완 저,길벗,2026년 01월,16920
AI 에이전트 엔지니어링,마이클 알바다 저/강민혁 역,한빛미디어,2026년 01월,28800
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,천은영 저,골든래빗,2026년 01월,23400
AI 버블이 온다,"아르빈드 나라야난, 사야시 카푸르 저/강미경 역",윌북(willbook),2025년 12월,22320
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원 저,한빛미디어,2025년 10월,17100
MK에디션 CES 2026,매일경제 CES 특별취재팀 저,매일경제신문사,2026년 01월,18000
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,Dave Lee 저,길벗,2026년 02월,28800
요즘 당근 AI 개발,당근 팀 저,골든래빗,2025년 10월,19800
대체불가 AI 영상 제작 완전정복,이용태 저,책바세,2025년 12월,26100
AI가 쉬워지는 최소한의 수학,이동준 저,지상의책(갈매나무),2026년 02월,18000
AI 프로젝트 100% 성공을 위한 체크리스트 17,유진호 저,책만,2026년 01월,25200
AI 엔지니어링,칩 후옌 저/변성윤 역,한빛미디어,2025년 09월,36000
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진 저",시프트,2025년 09월,18000
혼자 공부하는 머신러닝+딥러닝,박해선 저,한빛미디어,2025년 04월,28800
